trial,date,position,full_vial_w/crab,shell+crab,dry_vial+contents,crab_vol_ml,full_vial_w/o crab,control_vol,,,,,,,
1,2021-8-1,D,43.369,0.05,19.265,23.57292,43.488,23.73854,A,19.15,19.15,,,0.3155,
1,2021-8-1,C,43.251,0.171,19.224,23.37888,43.291,23.58566,aug 6-14,,,,,,
1,2021-8-1,B,43.302,0.096,19.239,23.48766,43.42,23.69738,,,,,,,
1,2021-8-1,A,43.059,0.026,19.141,23.41416,43.194,23.57194,Aug 1 and Aug 5 depends on accuracy needed. i am really not sure that these full vials are correct. I just used the average mesh + stir plus the weight of the specific vial,,,,,,
2,2021-8-5,D,43.454,0.073,19.265,23.63368,43.488,23.73854,,,,,,B,18.542
2,2021-8-5,C,43.212,0.138,19.224,23.373,43.291,23.58566,D,19.273,19.273,,,A,18.444
2,2021-8-5,B,43.389,0.042,19.239,23.62584,43.42,23.69738,C,19.232,19.232,,,,
2,2021-8-5,A,43.071,0.071,19.141,23.38182,43.194,23.57194,B,19.214,19.214,,,0.3815,
3,2021-8-6,D,43.402,0.052,19.273,23.59546,43.29,23.53666,C,19.232,19.232,,,,
3,2021-8-6,C,43.146,0.035,19.232,23.40142,43.08,23.37104,B,19.226,19.226,,,,
3,2021-8-6,B,43.282,0.138,19.214,23.4514,43.176,23.48276,A,19.138,19.138,,,D,18.568
3,2021-8-6,A,43.116,0.037,19.15,23.45042,43.029,23.40142,aug 15-25,,,,,C,18.527
4,2021-8-8,D,43.344,0.046,19.273,23.5445,43.29,23.53666,,,,,,,
4,2021-8-8,C,43.195,0.054,19.232,23.43082,43.08,23.37104,aug 25 present,,,,,,
4,2021-8-8,B,43.336,0.079,19.214,23.56214,43.176,23.48276,,,,,,,
4,2021-8-8,A,43.112,0.051,19.15,23.43278,43.029,23.40142,D,19.273,19.273,,,,
5,2021-8-9,D,43.477,0.145,19.273,23.57782,43.29,23.53666,D,19.273,19.273,,,,
5,2021-8-9,C,43.245,0.053,19.232,23.4808,43.08,23.37104,C,19.232,19.232,,,,
5,2021-8-9,B,43.291,0.096,19.214,23.50138,43.176,23.48276,B,19.226,19.226,,,,
5,2021-8-9,A,43.108,0.057,19.15,23.42298,43.029,23.40142,A,19.138,19.138,,,,
6,2021-8-10,D,43.373,0.037,19.273,23.58174,43.29,23.53666,,,,,,,
6,2021-8-10,C,43.256,0.079,19.232,23.4661,43.08,23.37104,,,,,,,
6,2021-8-10,B,43.314,0.088,19.214,23.53176,43.176,23.48276,,,,,,,
6,2021-8-10,A,43.132,0.091,19.15,23.41318,43.029,23.40142,,,,,,,
7,2021-8-11,D,43.427,0.087,19.273,23.58566,43.29,23.53666,,,,,,,
7,2021-8-11,C,43.183,0.068,19.232,23.40534,43.08,23.37104,,,,,,,
7,2021-8-11,B,43.306,0.061,19.214,23.55038,43.176,23.48276,,,,,,,
7,2021-8-11,A,43.075,0.064,19.15,23.38378,43.029,23.40142,,,,,,,
8,2021-8-14,D,43.468,0.059,19.273,23.65328,43.29,23.53666,,,,,,,
8,2021-8-14,C,43.16,0.071,19.232,23.37986,43.08,23.37104,,,,,,,
8,2021-8-14,B,dead,dead,,#VALUE!,43.176,42.31248,,,,,,,
8,2021-8-14,A,43.082,0.04,19.15,23.41416,43.029,23.40142,,,,,,,
9,2021-8-15,D,43.402,0.067,19.273,23.58076,43.29,23.53666,,,,,,,
9,2021-8-15,C,43.253,0.1,19.232,23.44258,43.08,23.37104,,,,,,,
9,2021-8-15,B,43.356,0.087,19.226,23.56214,43.235,23.52882,,,,,,,
9,2021-8-15,A,43.119,0.073,19.138,23.42984,43.04,23.42396,,,,,,,
10,2021-8-25,D,43.431,0.104,19.273,23.57292,43.29,23.53666,,,,,,,
10,2021-8-25,C,NA,,19.232,#VALUE!,43.08,23.37104,,,,,,,
10,2021-8-25,B,43.272,0.042,19.226,23.52392,43.235,23.52882,,,,,,,
10,2021-8-25,A,43.142,0.053,19.138,23.47198,43.04,23.42396,,,,,,,
11,2021-8-28,D,43.402,0.211,19.273,23.43964,43.339,23.58468,,,,,,,
11,2021-8-28,C,43.169,0.031,19.232,23.42788,43.14,23.42984,,,,,,,
11,2021-8-28,B,43.315,0.125,19.226,23.48472,43.235,23.52882,,,,,,,
11,2021-8-28,A,43.035,0.0303,19.138,23.389366,43.04,23.42396,,,,,,,
12,2021-8-29,D,43.351,0.094,19.273,23.50432,43.339,23.58468,,,,,,,
12,2021-8-29,C,43.125,0.078,19.232,23.3387,43.14,23.42984,,,,,,,
12,2021-8-29,B,43.308,0.062,19.226,23.5396,43.235,23.52882,,,,,,,
12,2021-8-29,A,43.058,0.061,19.138,23.38182,43.04,23.42396,,,,,,,
13,2021-8-30,D,43.354,0.054,19.273,23.54646,43.339,23.58468,,,,,,,
13,2021-8-30,C,43.143,0.058,19.232,23.37594,43.14,23.42984,,,,,,,
13,2021-8-30,B,43.151,0.093,19.226,23.35536,43.235,23.52882,,,,,,,
13,2021-8-30,A,43.142,0.054,19.138,23.471,43.04,23.42396,,,,,,,
14,2021-8-31,D,43.389,0.08,19.273,23.55528,43.339,23.58468,,,,,,,
14,2021-8-31,C,43.202,0.057,19.232,23.43474,43.14,23.42984,,,,,,,
14,2021-8-31,B,43.268,NA,19.226,#VALUE!,43.235,23.52882,,,,,,,
14,2021-8-31,A,43.029,0.05,19.138,23.36418,43.04,23.42396,,,,,,,
15,2021-9-1,D,43.41,0.048,19.273,23.60722,43.339,23.58468,,,,,,,
15,2021-9-1,C,43.183,0.159,19.232,23.31616,43.14,23.42984,,,,,,,
15,2021-9-1,B,43.264,0.055,19.226,23.50334,43.235,23.52882,,,,,,,
15,2021-9-1,A,43.082,0.044,19.138,23.422,43.04,23.42396,,,,,,,
16,2021-9-2,D,43.362,0.049,19.273,23.5592,43.339,23.58468,,,,,,,
16,2021-9-2,C,43.143,0.039,19.232,23.39456,43.14,23.42984,,,,,,,
16,2021-9-2,B,43.263,0.058,19.226,23.49942,43.235,23.52882,,,,,,,
16,2021-9-2,A,43.059,0.085,19.138,23.35928,43.04,23.42396,,,,,,,