site,long,lat
kitsilano_point,-123.1511,49.27807
meay_channel,-128.09709,51.66091
whiskey_cove,-122.92616,49.32105
dunbar,-123.18337,49.27304
thwaytes_landing,-122.88955,49.3713
lamborghini_cove_3,-122.87349,49.30126
pruth_lagoon,-128.12946,51.65644
acadia,-123.24201,49.27991
belcarra_pier,-122.92769,49.31315
west_tsawwassen,-123.10271,49.02291
strawberry_point,-125.12967,48.83244
nudibranch_point,-125.17222,48.81444
belcarra,-122.92775,49.31028
strathcona,-122.94357,49.31846
deep_cove,-122.94356,49.3262
tuwanek,-123.7641,49.54563
gibsons_wharf,-123.504266,49.401618
davis_bay,-123.726622,49.440813
baker_beach,-124.040125,49.604606
egmont,-123.930201,49.750105
new brighton,-123.039552,49.291615
rocky point,-122.84848,49.28117
nudibranch_point,-125.171903,48.814503
strawberry_point,-125.128799,48.832512
henson road,-124.646588,49.425548
denman flow zone,-124.72909,49.468755
blue heron park,-123.753372,49.044303
transfer beach,-123.807486,48.991195
deep bay,-124.729818,49.466036
peter point,-123.586457,48.82161
genova bay,-123.596877,48.758776
patricia bay,-123.446775,48.655775
kingfisher,-123.461576,48.696627
sidney kayak,-123.393778,48.657068
boundary bay,-123.035276,49.004715
birds eye,-123.601696,48.801389